DATE,ACTUAL,PREDICT,UPPER,LOWER,ERROR,STD,NERROR,SDUMMY1,SDUMMY2,SDUMMY3,SDUMMY4,SDUMMY5,SDUMMY6,SDUMMY7,SDUMMY8,SDUMMY9,SDUMMY10,SDUMMY11,_LINEAR_,_QUAD_
01DEC1997,14446017,11402397,13930324,8874470,3043620,1289782,2.3598,0,0,0,0,0,0,0,0,0,0,0,141,19881
01JAN1998,14518000,14401285,16929211,11873358,116715,1289782,0.0905,1,0,0,0,0,0,0,0,0,0,0,142,20164
01FEB1998,13293000,11279381,13807308,8751454,2013619,1289782,1.5612,0,1,0,0,0,0,0,0,0,0,0,143,20449
01MAR1998,10718000,12923836,15451763,10395909,-2205836,1289782,-1.7102,0,0,1,0,0,0,0,0,0,0,0,144,20736
01APR1998,11575000,11718308,14246235,9190381,-143308,1289782,-0.1111,0,0,0,1,0,0,0,0,0,0,0,145,21025
01MAY1998,7967000,9390630,11918557,6862704,-1423630,1289782,-1.1038,0,0,0,0,1,0,0,0,0,0,0,146,21316
01JUN1998,7348000,8918814,11446741,6390888,-1570814,1289782,-1.2179,0,0,0,0,0,1,0,0,0,0,0,147,21609
01JUL1998,11335000,11205413,13733340,8677487,129587,1289782,0.1005,0,0,0,0,0,0,1,0,0,0,0,148,21904
01AUG1998,12399000,13243192,15771119,10715266,-844192,1289782,-0.6545,0,0,0,0,0,0,0,1,0,0,0,149,22201
01SEP1998,11453000,12588324,15116251,10060398,-1135324,1289782,-0.8802,0,0,0,0,0,0,0,0,1,0,0,150,22500
01OCT1998,12238000,12844893,15372820,10316967,-606893,1289782,-0.4705,0,0,0,0,0,0,0,0,0,1,0,151,22801
01NOV1998,10797000,11654462,14182388,9126535,-857462,1289782,-0.6648,0,0,0,0,0,0,0,0,0,0,1,152,23104
01DEC1998,14016000,12536780,15064706,10008853,1479220,1289782,1.1469,0,0,0,0,0,0,0,0,0,0,0,153,23409
01JAN1999,,15545716,18073642,13017789,,1289782,,1,0,0,0,0,0,0,0,0,0,0,154,23716
01FEB1999,,12433860,14961787,9905934,,1289782,,0,1,0,0,0,0,0,0,0,0,0,155,24025
01MAR1999,,14088364,16616291,11560437,,1289782,,0,0,1,0,0,0,0,0,0,0,0,156,24336
01APR1999,,12892884,15420811,10364957,,1289782,,0,0,0,1,0,0,0,0,0,0,0,157,24649
